Movie_Title,Year,Director,Rating,Runtime,Censor,Total_Gross,main_genre
It's a Mad Mad Mad Mad World,1963,Stanley Kramer,7.5,210,B,$46.30M,Action
The Guns of Navarone,1961,J. Lee Thompson,7.5,158,U,$28.90M,Action
Shang-Chi and the Legend of the Ten Rings,2021,Destin Daniel Cretton,7.4,132,UA,$224.54M,Action
Nobody,2021,Ilya Naishuller,7.4,92,A,$27.27M,Action
Spider-Man: Far from Home,2019,Jon Watts,7.4,129,U,$390.53M,Action
John Wick: Chapter 3 - Parabellum,2019,Chad Stahelski,7.4,130,A,$171.02M,Action
John Wick: Chapter 2,2017,Chad Stahelski,7.4,122,A,$92.03M,Action
The Last Duel,2021,Ridley Scott,7.4,152,A,$340.23M,Action
War for the Planet of the Apes,2017,Matt Reeves,7.4,140,UA,$146.88M,Action
John Wick,2014,"Directors:Chad Stahelski, David Leitch",7.4,101,A,$43.04M,Action
Predestination,2014,"Directors:Michael Spierig, Peter Spierig",7.4,97,18,$0.07M,Action
How to Train Your Dragon: The Hidden World,2019,Dean DeBlois,7.4,104,U,$160.80M,Animation
Mission: Impossible - Rogue Nation,2015,Christopher McQuarrie,7.4,131,UA,$195.04M,Action
Spider-Man: Homecoming,2017,Jon Watts,7.4,133,U,$334.20M,Action
Rurôni Kenshin: Meiji kenkaku roman tan,2012,Keishi Otomo,7.4,134,B,$340.23M,Action
Ready Player One,2018,Steven Spielberg,7.4,140,UA,$137.69M,Action
Sherlock Holmes: A Game of Shadows,2011,Guy Ritchie,7.4,129,UA,$186.85M,Action
Samâ uôzu,2009,Mamoru Hosoda,7.4,114,U,$0.08M,Animation
Looper,2012,Rian Johnson,7.4,119,A,$66.49M,Action
Mission: Impossible - Ghost Protocol,2011,Brad Bird,7.4,132,UA,$209.40M,Action
Law Abiding Citizen,2009,F. Gary Gray,7.4,109,A,$73.34M,Action
Black Dynamite,2009,Scott Sanders,7.4,84,R,$0.23M,Action
Wonder Woman,2017,Patty Jenkins,7.4,141,UA,$412.56M,Action
L'ennemi public n°1,2008,Jean-François Richet,7.4,133,R,$0.28M,Action
A History of Violence,2005,David Cronenberg,7.4,96,UA,$31.49M,Action
Spider-Man 2,2004,Sam Raimi,7.4,127,U,$373.59M,Action
Open Range,2003,Kevin Costner,7.4,139,U,$58.33M,Action
Master and Commander: The Far Side of the World,2003,Peter Weir,7.4,138,PG-13,$93.93M,Action
X2,2003,Bryan Singer,7.4,134,UA,$214.95M,Action
Spider-Man,2002,Sam Raimi,7.4,121,U,$403.71M,Action
The Rock,1996,Michael Bay,7.4,136,A,$134.07M,Action
Thief,1981,Michael Mann,7.4,123,B,$11.49M,Action
Zui quan,1978,Woo-Ping Yuen,7.4,111,U,$340.23M,Action
Superman,1978,Richard Donner,7.4,143,U,$134.22M,Action
Get Carter,1971,Mike Hodges,7.4,112,UA,$0.39M,Action
Bullitt,1968,Peter Yates,7.4,114,A,$42.30M,Action
From Russia with Love,1963,Terence Young,7.4,115,A,$24.80M,Action
El Camino: A Breaking Bad Movie,2019,Vince Gilligan,7.3,122,16,$340.23M,Action
DC League of Super-Pets,2022,"Directors:Jared Stern, Sam J. Levine",7.3,105,7,$340.23M,Animation
Tenet,2020,Christopher Nolan,7.3,150,UA,$58.46M,Action
Raya and the Last Dragon,2021,"Directors:Don Hall, Carlos López Estrada, Paul Briggs, John Ripa",7.3,107,U,$340.23M,Animation
Patriots Day,2016,Peter Berg,7.3,133,A,$31.89M,Action
13 Hours,2016,Michael Bay,7.3,144,A,$52.85M,Action
The Lego Batman Movie,2017,Chris McKay,7.3,104,U,$175.75M,Animation
Okja,2017,Bong Joon Ho,7.3,120,UA,$340.23M,Action
The Nice Guys,2016,Shane Black,7.3,116,18,$36.26M,Action
Avengers: Age of Ultron,2015,Joss Whedon,7.3,141,UA,$459.01M,Action
No Time to Die,2021,Cary Joji Fukunaga,7.3,163,UA,$160.87M,Action
American Sniper,2014,Clint Eastwood,7.3,133,A,$350.13M,Action
The Accountant,2016,Gavin O'Connor,7.3,128,18,$86.26M,Action
Eye in the Sky,2015,Gavin Hood,7.3,102,UA,$18.70M,Action
Black Panther,2018,Ryan Coogler,7.3,134,UA,$700.06M,Action
Southpaw,2015,Antoine Fuqua,7.3,124,16,$52.42M,Action
Fast Five,2011,Justin Lin,7.3,130,UA,$209.84M,Action
The Next Three Days,2010,Paul Haggis,7.3,133,13,$21.15M,Action
Bullet Train,2022,David Leitch,7.3,127,A,$340.23M,Action
Ghajini,2008,A.R. Murugadoss,7.3,186,UA,$2.43M,Action
Master,2021,Lokesh Kanagaraj,7.3,178,UA,$340.23M,Action
Invictus,2009,Clint Eastwood,7.3,134,UA,$37.49M,Action
Max Manus,2008,"Directors:Joachim Rønning, Espen Sandberg",7.3,118,B,$340.23M,Action
Megamind,2010,Tom McGrath,7.3,95,U,$148.42M,Animation
The Adventures of Tintin,2011,Steven Spielberg,7.3,107,U,$77.59M,Animation
Der Baader Meinhof Komplex,2008,Uli Edel,7.3,150,R,$0.48M,Action
Ant-Man,2015,Peyton Reed,7.3,117,UA,$180.20M,Action
Alita: Battle Angel,2019,Robert Rodriguez,7.3,122,UA,$85.71M,Action
Chi bi,2008,John Woo,7.3,288,R,$0.63M,Action
Running Scared,2006,Wayne Kramer,7.3,122,R,$6.86M,Action
Pirates of the Caribbean: Dead Man's Chest,2006,Gore Verbinski,7.3,151,12+,$423.32M,Action
Layer Cake,2004,Matthew Vaughn,7.3,105,UA,$2.34M,Action
Dawn of the Dead,2004,Zack Snyder,7.3,101,A,$59.02M,Action
Siu Lam juk kau,2001,Stephen Chow,7.3,113,PG,$0.49M,Action
Equilibrium,2002,Kurt Wimmer,7.3,107,UA,$1.20M,Action
X-Men,2000,Bryan Singer,7.3,104,UA,$157.30M,Action
The Negotiator,1998,F. Gary Gray,7.3,140,R,$44.48M,Action
